Vivado Simulator 2019.1
Time resolution is 1 ps
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=0, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=0, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=0, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=1, x4_in=1, x5_in=1, x6_in=0, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=0, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=1, y4_out=0, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=1, x4_in=0, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=0, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=1, x4_in=1, x5_in=0, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=1, y4_out=1, y5_out=1, y6_out=0
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=0, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=1, x4_in=0, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=0, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=1, x2_in=0, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=0, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=0, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=0, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=1, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=1, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=1, x2_in=1, x3_in=0, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=0, y2_out=1, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=0, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=1, y2_out=1, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=1, x1_in=0, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=1, y1_out=1, y2_out=1, y3_out=1, y4_out=0, y5_out=0, y6_out=1
The adder output is correct! x0_in=0, x1_in=1, x2_in=0, x3_in=1, x4_in=1, x5_in=1, x6_in=1, x7_in=0, y0_out=0, y1_out=0, y2_out=0, y3_out=0, y4_out=1, y5_out=0, y6_out=1
